REGION,COUNTY,STATUS,DEM,REP,CON,WOR,OTH,BLANK,TOTAL
,,,,,,,,,
Outside NYC,Albany ,Active,"98,841","35,626","3,570","1,015","7,532","53,432","200,016"
Outside NYC,Albany ,Inactive,"5,241","1,879",179,56,498,"3,187","11,040"
Outside NYC,Albany ,Total,"104,082","37,505","3,749","1,071","8,030","56,619","211,056"
,,,,,,,,,
Outside NYC,Allegany ,Active,"5,244","13,525",490,133,"1,131","5,793","26,316"
Outside NYC,Allegany ,Inactive,254,374,16,4,54,293,995
Outside NYC,Allegany ,Total,"5,498","13,899",506,137,"1,185","6,086","27,311"
,,,,,,,,,
Outside NYC,Broome ,Active,"43,574","41,871","1,718",721,"5,847","29,642","123,373"
Outside NYC,Broome ,Inactive,"6,667","4,874",192,150,"1,082","4,622","17,587"
Outside NYC,Broome ,Total,"50,241","46,745","1,910",871,"6,929","34,264","140,960"
,,,,,,,,,
Outside NYC,Cattaraugus ,Active,"12,548","19,617","1,178",231,"2,090","10,999","46,663"
Outside NYC,Cattaraugus ,Inactive,"1,068","1,396",81,23,233,"1,163","3,964"
Outside NYC,Cattaraugus ,Total,"13,616","21,013","1,259",254,"2,323","12,162","50,627"
,,,,,,,,,
Outside NYC,Cayuga ,Active,"14,574","17,850","1,444",300,"1,854","12,526","48,548"
Outside NYC,Cayuga ,Inactive,614,701,52,15,128,666,"2,176"
Outside NYC,Cayuga ,Total,"15,188","18,551","1,496",315,"1,982","13,192","50,724"
,,,,,,,,,
Outside NYC,Chautauqua ,Active,"23,195","28,004","2,023",475,"3,998","21,101","78,796"
Outside NYC,Chautauqua ,Inactive,"1,522","1,593",118,43,358,"1,587","5,221"
Outside NYC,Chautauqua ,Total,"24,717","29,597","2,141",518,"4,356","22,688","84,017"
,,,,,,,,,
Outside NYC,Chemung ,Active,"14,733","20,996",893,250,"2,663","12,277","51,812"
Outside NYC,Chemung ,Inactive,"1,000","1,151",47,17,227,"1,008","3,450"
Outside NYC,Chemung ,Total,"15,733","22,147",940,267,"2,890","13,285","55,262"
,,,,,,,,,
Outside NYC,Chenango ,Active,"6,755","13,263",533,154,"1,479","7,427","29,611"
Outside NYC,Chenango ,Inactive,444,661,29,8,83,563,"1,788"
Outside NYC,Chenango ,Total,"7,199","13,924",562,162,"1,562","7,990","31,399"
,,,,,,,,,
Outside NYC,Clinton ,Active,"16,868","15,473",582,255,"2,758","13,124","49,060"
Outside NYC,Clinton ,Inactive,"1,006",700,24,16,216,"1,903","3,865"
Outside NYC,Clinton ,Total,"17,874","16,173",606,271,"2,974","15,027","52,925"
,,,,,,,,,
Outside NYC,Columbia ,Active,"18,231","12,103","1,008",283,"2,029","12,082","45,736"
Outside NYC,Columbia ,Inactive,"1,948","1,065",94,22,317,"1,254","4,700"
Outside NYC,Columbia ,Total,"20,179","13,168","1,102",305,"2,346","13,336","50,436"
,,,,,,,,,
Outside NYC,Cortland ,Active,"8,468","10,276",488,121,"1,385","7,233","27,971"
Outside NYC,Cortland ,Inactive,"1,086","1,013",54,15,188,"1,304","3,660"
Outside NYC,Cortland ,Total,"9,554","11,289",542,136,"1,573","8,537","31,631"
,,,,,,,,,
Outside NYC,Delaware ,Active,"8,331","12,587",538,113,"1,386","6,771","29,726"
Outside NYC,Delaware ,Inactive,477,547,25,7,119,494,"1,669"
Outside NYC,Delaware ,Total,"8,808","13,134",563,120,"1,505","7,265","31,395"
,,,,,,,,,
Outside NYC,Dutchess ,Active,"74,535","54,363","3,820",947,"9,548","57,217","200,430"
Outside NYC,Dutchess ,Inactive,"8,880","5,040",359,102,"1,202","6,205","21,788"
Outside NYC,Dutchess ,Total,"83,415","59,403","4,179","1,049","10,750","63,422","222,218"
,,,,,,,,,
Outside NYC,Erie ,Active,"283,573","157,448","15,337","3,744","20,745","143,592","624,439"
Outside NYC,Erie ,Inactive,"16,501","6,832",498,131,"1,217","6,553","31,732"
Outside NYC,Erie ,Total,"300,074","164,280","15,835","3,875","21,962","150,145","656,171"
,,,,,,,,,
Outside NYC,Essex ,Active,"7,541","10,398",275,93,"1,332","5,557","25,196"
Outside NYC,Essex ,Inactive,562,666,21,4,133,487,"1,873"
Outside NYC,Essex ,Total,"8,103","11,064",296,97,"1,465","6,044","27,069"
,,,,,,,,,
Outside NYC,Franklin ,Active,"9,496","9,243",391,113,"1,339","6,230","26,812"
Outside NYC,Franklin ,Inactive,636,538,25,9,139,517,"1,864"
Outside NYC,Franklin ,Total,"10,132","9,781",416,122,"1,478","6,747","28,676"
,,,,,,,,,
Outside NYC,Fulton ,Active,"7,087","16,338",693,153,"1,485","7,892","33,648"
Outside NYC,Fulton ,Inactive,424,657,41,12,112,539,"1,785"
Outside NYC,Fulton ,Total,"7,511","16,995",734,165,"1,597","8,431","35,433"
,,,,,,,,,
Outside NYC,Genesee ,Active,"8,386","16,926","1,066",167,"1,695","9,430","37,670"
Outside NYC,Genesee ,Inactive,489,798,49,14,142,609,"2,101"
Outside NYC,Genesee ,Total,"8,875","17,724","1,115",181,"1,837","10,039","39,771"
,,,,,,,,,
Outside NYC,Greene ,Active,"8,920","12,158",808,142,"1,538","8,842","32,408"
Outside NYC,Greene ,Inactive,883,"1,015",59,16,233,871,"3,077"
Outside NYC,Greene ,Total,"9,803","13,173",867,158,"1,771","9,713","35,485"
,,,,,,,,,
Outside NYC,Hamilton ,Active,834,"2,407",69,6,5,866,"4,187"
Outside NYC,Hamilton ,Inactive,37,82,2,0,4,38,163
Outside NYC,Hamilton ,Total,871,"2,489",71,6,9,904,"4,350"
,,,,,,,,,
Outside NYC,Herkimer ,Active,"8,968","18,799",751,132,"2,221","8,539","39,410"
Outside NYC,Herkimer ,Inactive,"1,226","1,660",72,23,381,"1,180","4,542"
Outside NYC,Herkimer ,Total,"10,194","20,459",823,155,"2,602","9,719","43,952"
,,,,,,,,,
Outside NYC,Jefferson ,Active,"14,813","25,230","1,026",226,"2,308","15,579","59,182"
Outside NYC,Jefferson ,Inactive,"1,444","1,426",52,25,263,"2,169","5,379"
Outside NYC,Jefferson ,Total,"16,257","26,656","1,078",251,"2,571","17,748","64,561"
,,,,,,,,,
Outside NYC,Lewis ,Active,"3,552","9,337",340,38,714,"3,361","17,342"
Outside NYC,Lewis ,Inactive,428,788,38,6,157,501,"1,918"
Outside NYC,Lewis ,Total,"3,980","10,125",378,44,871,"3,862","19,260"
,,,,,,,,,
Outside NYC,Livingston ,Active,"10,128","17,433",936,128,"1,761","9,801","40,187"
Outside NYC,Livingston ,Inactive,542,689,54,5,128,586,"2,004"
Outside NYC,Livingston ,Total,"10,670","18,122",990,133,"1,889","10,387","42,191"
,,,,,,,,,
Outside NYC,Madison ,Active,"11,342","16,794",912,199,"2,443","11,328","43,018"
Outside NYC,Madison ,Inactive,"1,122","1,093",54,11,224,"1,031","3,535"
Outside NYC,Madison ,Total,"12,464","17,887",966,210,"2,667","12,359","46,553"
,,,,,,,,,
Outside NYC,Monroe ,Active,"201,670","124,504","8,240","2,014","18,510","130,343","485,281"
Outside NYC,Monroe ,Inactive,"18,160","8,545",531,194,"1,738","11,506","40,674"
Outside NYC,Monroe ,Total,"219,830","133,049","8,771","2,208","20,248","141,849","525,955"
,,,,,,,,,
Outside NYC,Montgomery ,Active,"8,511","10,525",793,133,"1,434","7,770","29,166"
Outside NYC,Montgomery ,Inactive,558,480,37,9,96,542,"1,722"
Outside NYC,Montgomery ,Total,"9,069","11,005",830,142,"1,530","8,312","30,888"
,,,,,,,,,
Outside NYC,Nassau ,Active,"378,960","295,507","9,446","2,171","27,901","262,403","976,388"
Outside NYC,Nassau ,Inactive,"36,251","25,664",810,226,"2,984","22,505","88,440"
Outside NYC,Nassau ,Total,"415,211","321,171","10,256","2,397","30,885","284,908","1,064,828"
,,,,,,,,,
Outside NYC,Niagara ,Active,"49,729","48,026","3,796","1,307","6,347","31,431","140,636"
Outside NYC,Niagara ,Inactive,"3,450","2,657",187,109,522,"2,550","9,475"
Outside NYC,Niagara ,Total,"53,179","50,683","3,983","1,416","6,869","33,981","150,111"
,,,,,,,,,
Outside NYC,Oneida ,Active,"41,906","51,372","2,216",541,"7,233","31,010","134,278"
Outside NYC,Oneida ,Inactive,"2,628","2,027",114,33,461,"2,008","7,271"
Outside NYC,Oneida ,Total,"44,534","53,399","2,330",574,"7,694","33,018","141,549"
,,,,,,,,,
Outside NYC,Onondaga ,Active,"116,147","82,396","5,081","1,385","13,247","88,100","306,356"
Outside NYC,Onondaga ,Inactive,"6,990","4,139",285,67,819,"5,154","17,454"
Outside NYC,Onondaga ,Total,"123,137","86,535","5,366","1,452","14,066","93,254","323,810"
,,,,,,,,,
Outside NYC,Ontario ,Active,"22,874","28,349","1,553",240,"3,422","20,830","77,268"
Outside NYC,Ontario ,Inactive,"1,377","1,601",92,16,325,"1,569","4,980"
Outside NYC,Ontario ,Total,"24,251","29,950","1,645",256,"3,747","22,399","82,248"
,,,,,,,,,
Outside NYC,Orange ,Active,"90,506","72,583","4,629","1,211","10,529","63,483","242,941"
Outside NYC,Orange ,Inactive,"7,426","5,773",354,90,"1,040","5,585","20,268"
Outside NYC,Orange ,Total,"97,932","78,356","4,983","1,301","11,569","69,068","263,209"
,,,,,,,,,
Outside NYC,Orleans ,Active,"5,135","11,949",617,131,956,"6,142","24,930"
Outside NYC,Orleans ,Inactive,108,279,22,4,48,150,611
Outside NYC,Orleans ,Total,"5,243","12,228",639,135,"1,004","6,292","25,541"
,,,,,,,,,
Outside NYC,Oswego ,Active,"16,981","34,280","1,829",338,"3,240","18,437","75,105"
Outside NYC,Oswego ,Inactive,738,"1,265",68,16,171,830,"3,088"
Outside NYC,Oswego ,Total,"17,719","35,545","1,897",354,"3,411","19,267","78,193"
,,,,,,,,,
Outside NYC,Otsego ,Active,"10,951","13,734",568,146,"1,722","8,896","36,017"
Outside NYC,Otsego ,Inactive,771,696,32,8,183,685,"2,375"
Outside NYC,Otsego ,Total,"11,722","14,430",600,154,"1,905","9,581","38,392"
,,,,,,,,,
Outside NYC,Putnam ,Active,"21,770","23,382","1,677",228,"3,177","19,617","69,851"
Outside NYC,Putnam ,Inactive,"1,970","1,924",145,11,309,"1,602","5,961"
Outside NYC,Putnam ,Total,"23,740","25,306","1,822",239,"3,486","21,219","75,812"
,,,,,,,,,
Outside NYC,Rensselaer ,Active,"33,394","26,207","4,604","1,985","6,225","33,182","105,597"
Outside NYC,Rensselaer ,Inactive,"2,485","1,179",130,89,409,"1,953","6,245"
Outside NYC,Rensselaer ,Total,"35,879","27,386","4,734","2,074","6,634","35,135","111,842"
,,,,,,,,,
Outside NYC,Rockland ,Active,"92,540","49,174","4,535",814,"6,431","51,689","205,183"
Outside NYC,Rockland ,Inactive,"6,662","3,495",259,60,666,"4,169","15,311"
Outside NYC,Rockland ,Total,"99,202","52,669","4,794",874,"7,097","55,858","220,494"
,,,,,,,,,
Outside NYC,Saratoga ,Active,"52,331","62,874","3,208",575,"8,019","50,207","177,214"
Outside NYC,Saratoga ,Inactive,"3,203","3,570",163,39,676,"3,099","10,750"
Outside NYC,Saratoga ,Total,"55,534","66,444","3,371",614,"8,695","53,306","187,964"
,,,,,,,,,
Outside NYC,Schenectady ,Active,"39,572","23,219","3,226",817,"3,964","28,768","99,566"
Outside NYC,Schenectady ,Inactive,"2,695","1,234",125,60,326,"2,043","6,483"
Outside NYC,Schenectady ,Total,"42,267","24,453","3,351",877,"4,290","30,811","106,049"
,,,,,,,,,
Outside NYC,Schoharie ,Active,"5,004","8,182",558,107,"1,106","5,315","20,272"
Outside NYC,Schoharie ,Inactive,249,328,35,11,76,310,"1,009"
Outside NYC,Schoharie ,Total,"5,253","8,510",593,118,"1,182","5,625","21,281"
,,,,,,,,,
Outside NYC,Schuyler ,Active,"3,344","5,305",238,63,604,"3,039","12,593"
Outside NYC,Schuyler ,Inactive,196,227,15,1,41,159,639
Outside NYC,Schuyler ,Total,"3,540","5,532",253,64,645,"3,198","13,232"
,,,,,,,,,
Outside NYC,Seneca ,Active,"5,974","8,059",438,106,939,"5,039","20,555"
Outside NYC,Seneca ,Inactive,247,271,23,5,52,289,887
Outside NYC,Seneca ,Total,"6,221","8,330",461,111,991,"5,328","21,442"
,,,,,,,,,
Outside NYC,St.Lawrence ,Active,"20,138","22,531","1,083",251,"3,345","14,590","61,938"
Outside NYC,St.Lawrence ,Inactive,798,687,36,18,126,729,"2,394"
Outside NYC,St.Lawrence ,Total,"20,936","23,218","1,119",269,"3,471","15,319","64,332"
,,,,,,,,,
Outside NYC,Steuben ,Active,"13,903","30,070","1,108",254,"2,315","13,563","61,213"
Outside NYC,Steuben ,Inactive,676,"1,054",30,3,137,661,"2,561"
Outside NYC,Steuben ,Total,"14,579","31,124","1,138",257,"2,452","14,224","63,774"
,,,,,,,,,
Outside NYC,Suffolk ,Active,"353,670","324,109","20,180","3,917","36,977","305,574","1,044,427"
Outside NYC,Suffolk ,Inactive,"22,995","21,252","1,388",243,"2,368","20,290","68,536"
Outside NYC,Suffolk ,Total,"376,665","345,361","21,568","4,160","39,345","325,864","1,112,963"
,,,,,,,,,
Outside NYC,Sullivan ,Active,"16,872","15,495","1,241",266,"1,740","12,666","48,280"
Outside NYC,Sullivan ,Inactive,"2,124","1,527",127,29,294,"1,725","5,826"
Outside NYC,Sullivan ,Total,"18,996","17,022","1,368",295,"2,034","14,391","54,106"
,,,,,,,,,
Outside NYC,Tioga ,Active,"8,041","14,376",544,111,"1,601","7,588","32,261"
Outside NYC,Tioga ,Inactive,464,830,27,9,144,547,"2,021"
Outside NYC,Tioga ,Total,"8,505","15,206",571,120,"1,745","8,135","34,282"
,,,,,,,,,
Outside NYC,Tompkins ,Active,"30,711","10,099",403,337,"1,937","12,851","56,338"
Outside NYC,Tompkins ,Inactive,"4,777","1,063",44,39,267,"2,205","8,395"
Outside NYC,Tompkins ,Total,"35,488","11,162",447,376,"2,204","15,056","64,733"
,,,,,,,,,
Outside NYC,Ulster ,Active,"53,224","28,435","2,486",810,"4,878","36,285","126,118"
Outside NYC,Ulster ,Inactive,"3,778","1,953",146,64,491,"2,770","9,202"
Outside NYC,Ulster ,Total,"57,002","30,388","2,632",874,"5,369","39,055","135,320"
,,,,,,,,,
Outside NYC,Warren ,Active,"12,793","19,483",793,151,"2,368","11,584","47,172"
Outside NYC,Warren ,Inactive,676,905,36,15,185,689,"2,506"
Outside NYC,Warren ,Total,"13,469","20,388",829,166,"2,553","12,273","49,678"
,,,,,,,,,
Outside NYC,Washington ,Active,"9,340","15,936",764,170,"2,007","10,438","38,655"
Outside NYC,Washington ,Inactive,270,379,22,6,71,296,"1,044"
Outside NYC,Washington ,Total,"9,610","16,315",786,176,"2,078","10,734","39,699"
,,,,,,,,,
Outside NYC,Wayne ,Active,"13,836","24,337","1,651",290,"2,450","16,462","59,026"
Outside NYC,Wayne ,Inactive,514,604,63,5,129,705,"2,020"
Outside NYC,Wayne ,Total,"14,350","24,941","1,714",295,"2,579","17,167","61,046"
,,,,,,,,,
Outside NYC,Westchester ,Active,"306,917","118,381","6,798","1,601","18,255","157,469","609,421"
Outside NYC,Westchester ,Inactive,"29,766","10,936",658,175,"2,130","15,563","59,228"
Outside NYC,Westchester ,Total,"336,683","129,317","7,456","1,776","20,385","173,032","668,649"
,,,,,,,,,
Outside NYC,Wyoming ,Active,"4,829","12,126",637,89,906,"6,207","24,794"
Outside NYC,Wyoming ,Inactive,198,314,18,6,63,265,864
Outside NYC,Wyoming ,Total,"5,027","12,440",655,95,969,"6,472","25,658"
,,,,,,,,,
Outside NYC,Yates ,Active,"3,260","6,434",260,53,659,"3,299","13,965"
Outside NYC,Yates ,Inactive,150,234,8,2,41,162,597
Outside NYC,Yates ,Total,"3,410","6,668",268,55,700,"3,461","14,562"
,,,,,,,,,
Outside NYC Grand Total,,Active,"2,765,370","2,229,504","136,089","32,751","285,730","1,954,918","7,404,362"
Outside NYC Grand Total,,InActive,"217,851","144,330","8,265","2,396","25,226","152,645","550,713"
Outside NYC Grand Total,,Total,"2,983,221","2,373,834","144,354","35,147","310,956","2,107,563","7,955,075"
,,,,,,,,,
Within NYC,Bronx ,Active,"507,113","42,763","2,870","2,905","11,332","126,088","693,071"
Within NYC,Bronx ,Inactive,"64,223","6,100",450,482,"2,130","19,181","92,566"
Within NYC,Bronx ,Total,"571,336","48,863","3,320","3,387","13,462","145,269","785,637"
,,,,,,,,,
Within NYC,Kings ,Active,"987,110","126,812","4,291","6,690","22,351","269,977","1,417,231"
Within NYC,Kings ,Inactive,"138,781","15,130",570,827,"4,463","39,591","199,362"
Within NYC,Kings ,Total,"1,125,891","141,942","4,861","7,517","26,814","309,568","1,616,593"
,,,,,,,,,
Within NYC,New York ,Active,"663,022","66,909","1,736","2,620","16,244","175,337","925,868"
Within NYC,New York ,Inactive,"116,607","19,748",393,397,"5,768","44,820","187,733"
Within NYC,New York ,Total,"779,629","86,657","2,129","3,017","22,012","220,157","1,113,601"
,,,,,,,,,
Within NYC,Queens ,Active,"736,751","133,774","5,106","4,030","22,333","280,045","1,182,039"
Within NYC,Queens ,Inactive,"74,856","13,235",572,402,"3,090","29,965","122,120"
Within NYC,Queens ,Total,"811,607","147,009","5,678","4,432","25,423","310,010","1,304,159"
,,,,,,,,,
Within NYC,Richmond ,Active,"119,475","95,423","4,036","1,052","8,142","73,444","301,572"
Within NYC,Richmond ,Inactive,"12,910","9,416",448,126,"1,143","7,667","31,710"
Within NYC,Richmond ,Total,"132,385","104,839","4,484","1,178","9,285","81,111","333,282"
,,,,,,,,,
Within NYC Total,,Active,"3,013,471","465,681","18,039","17,297","80,402","924,891","4,519,781"
Within NYC Total,,InActive,"407,377","63,629","2,433","2,234","16,594","141,224","633,491"
Within NYC Total,,Total,"3,420,848","529,310","20,472","19,531","96,996","1,066,115","5,153,272"
,,,,,,,,,
Statewide Total,,Active,"5,778,841","2,695,185","154,128","50,048","366,132","2,879,809","11,924,143"
Statewide Total,,InActive,"625,228","207,959","10,698","4,630","41,820","293,869","1,184,204"
Statewide Total,,Total,"6,404,069","2,903,144","164,826","54,678","407,952","3,173,678","13,108,347"
